record_type,identifier,reference,status,evidence_level,freshness,selected_subjects,assessed_subjects,failed_subjects,unavailable_subjects,proof_digests,verification_status,verifier,diagnostic_severity,count
evidence_digest,protocol-chain:sha256:4afe8e34815b4cb7c58f31a523c14e44240e700f6f9a64bf70fdb2eb0fb17b12,protocol-chain,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,protocol-chain:sha256:4bd01f37536c972c923fdb55cc1b43545d333d1b136e190615b91124819b9387,protocol-chain,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,protocol-chain:sha256:5ce7d425a04bec4d781268dff080a4d8b289260e5f87acc0f91648faeaa304bd,protocol-chain,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,protocol-chain:sha256:5ec155320dfd5dbdc414d67f41634fc6575b88f4877bd3748a316f50983d2c2e,protocol-chain,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,protocol-chain:sha256:68d49b8698c566cb3fd910a6f199744d36246bae729f54e91742c3f1ed620761,protocol-chain,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,protocol-chain:sha256:71aa76406b6aa008b1db34850b156304dea90332750b53714d576db963c7666b,protocol-chain,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,protocol-chain:sha256:9071c60a1260ea04fcbb8f92bdd067757aed8056dd912169eab10bd42ff89b2f,protocol-chain,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,protocol-chain:sha256:aa1dfdfa0e32ab258698cb44f3c6a1d80c7c13a7354e6061f4b4d098808ca90a,protocol-chain,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,protocol-chain:sha256:ae1e075e7a2ee51d31b7c78edcce38b9dac68651df82712967d7c6831ea8ed57,protocol-chain,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,protocol-chain:sha256:b5f402e82941ecdc2c217e2b0927d89ce4cccbbdf514c9de0373245fa9ce3aa8,protocol-chain,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,protocol-chain:sha256:b7c28693fe45401da229ed7f169fd87c5597cc3182b484e2d89472c48a80cde3,protocol-chain,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,protocol-chain:sha256:d571787a5f6d8cf423c63e8a41d8fa5865a4238d09d5e282413d0dc4e068fe93,protocol-chain,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,protocol-chain:sha256:e9403735cae07c9c34f737861a153ba7d7a8fe12d0c494934f0d00e57989e176,protocol-chain,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,protocol-chain:sha256:ec44555d3bc407d166d2d464857fc6def6b409c11feb394080d2ee22780ab21e,protocol-chain,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,protocol-chain:sha256:fcfa8ff4536006d04126bf1eb9ab3f3111000e873f79c63f12e5ef22b127fc72,protocol-chain,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,receipt-persistence:sha256:033c7c421c1f6443ed13634e7cceb1e62f99d2f317115d4bfcf2b8f1aabe6c3e,receipt-persistence,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,receipt-persistence:sha256:085d61c91f5f9ddb814b16511e81e9eea4e41b73fa2b3b7649b7d6257ec6c5f0,receipt-persistence,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,receipt-persistence:sha256:2b028a78d9f16583110ccb363ab3422ee53800bbdb98fe427760ef3195d9949b,receipt-persistence,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,receipt-persistence:sha256:37f748afe7af44e7eb99da73d28228c4a3babcea9f67dfe394074dde46f8c8b8,receipt-persistence,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,receipt-persistence:sha256:38df640b75e14981fed46666db47feaf6201311bd938f2c5a4c887dc71c9c46a,receipt-persistence,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,receipt-persistence:sha256:3c46ed7885897a5bcbef898846b9ab08201f5eafbfd72b98139ba794b9fde0ba,receipt-persistence,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,receipt-persistence:sha256:47b237931ddc6477c1f7a3f51d3b0be53de4829160536fca620badb7aa022361,receipt-persistence,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,receipt-persistence:sha256:525b10ded5aed90c57c82158a04acd850929d0789a39b7a33e19649c89f720fe,receipt-persistence,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,receipt-persistence:sha256:6bab568466a22251c212e51b72d905238ef1c487916829c99a5e61a9860efe28,receipt-persistence,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,receipt-persistence:sha256:6e6326566fea3b4a9be88b845a1cf3b45c9a9ebed48eadf80513edd8c00444ca,receipt-persistence,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,receipt-persistence:sha256:6ea3e4a77a8a92b58f1af877f0f9d942fabd57290184afe506dba9ef3f25714c,receipt-persistence,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,receipt-persistence:sha256:8c8093f6af77e25d6586e50a2fc832bc9eaa9f17e1f87323e76cea21116ba92b,receipt-persistence,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,receipt-persistence:sha256:8f3ec3208dd0125199e0cf062bd40864cef2d8c1b204ce4b46b9c64ac0a3db36,receipt-persistence,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,receipt-persistence:sha256:93a4cf33f350b4f69327343c0f2bd3dd21393fc6da61529432c02f2db199cc2e,receipt-persistence,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,receipt-persistence:sha256:98cba29e2b4a8cc2dbd60c4e16de6773a72d9548cf5dcfc45a41ae7114d7506f,receipt-persistence,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,receipt-persistence:sha256:9a884589df43ce75d4f3d09a20a34e280b0a508211bf2f4d1862e2710886612b,receipt-persistence,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,receipt-persistence:sha256:9d1f523cd4c3e56331ed3164142503a8084de9d5688b4a3a8e0c9236c1ed78e2,receipt-persistence,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,receipt-persistence:sha256:a095217ba22460c5e3e169dd2663bb75583c8f15f796d287633fd00370b99457,receipt-persistence,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,receipt-persistence:sha256:c93237b5ec93970a5947374e40dd6038c3c08d626c299d05394bb964481a6f58,receipt-persistence,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,receipt-persistence:sha256:cec7bc5331f40a0cd7f1dad7b537b667694bb1783f09bfe52f46a011989f1dc0,receipt-persistence,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,receipt-persistence:sha256:dd0b61935ee8f7b3af6806b595b1fa4d9fb31892b0d4a42f1808f9353df19c7e,receipt-persistence,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,receipt-persistence:sha256:e9c8d823f9c884872a986e073af3bcd321602987477e8b3dc4f8529af391c986,receipt-persistence,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,receipt-persistence:sha256:eb9c8d6f6c666916f93985d3d39770c53a6ee181afbef2780e2267648a9abef5,receipt-persistence,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
diagnostic_summary,assessment_context_unavailable,,,,,,,,,,,,warning,4
